date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:33	89/89	---MCZ	200	added ('OK')	text/plain	date:Wed,%2009%20Oct%202019%2009:25:32%20GMT	http://hintjens.com/robots.txt		(from )
11:25:34	181790/181790	---MCZ	200	added ('OK')	text/html	etag:%228f18c1131c4e4423b56d8df49163e9d5%22	http://hintjens.com/	hintjens.com/hintjens.com/index.html	(from )
11:25:34	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2009%20Oct%202019%2009:25:34%20GMT	http://hintjens.com/admin:themes/code/1	hintjens.com/hintjens.com/admin_themes/code/1.0.delayed	(from http://hintjens.com/)
11:25:35	77/77	---M--	200	added ('OK')	image/gif	etag:%22daf5fc3cb2e73582c585877a4fbaffda%22	http://hintjens.com/local--favicon/favicon.gif	hintjens.com/hintjens.com/local--favicon/favicon.gif	(from http://hintjens.com/)
11:25:36	2715/2715	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202019%2015:39:35%20GMT	http://hintjens.com/common--images/apple-touch-icon-57x57.png	hintjens.com/hintjens.com/common--images/apple-touch-icon-57x57.png	(from http://hintjens.com/)
11:25:37	3384/3384	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202019%2015:39:35%20GMT	http://hintjens.com/common--images/apple-touch-icon-72x72.png	hintjens.com/hintjens.com/common--images/apple-touch-icon-72x72.png	(from http://hintjens.com/)
11:25:38	5455/5455	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Oct%202019%2016:38:43%20GMT	http://hintjens.com/common--images/apple-touch-icon-114x114.png	hintjens.com/hintjens.com/common--images/apple-touch-icon-114x114.png	(from http://hintjens.com/)
11:25:39	0/0	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Oct%202019%2009:25:39%20GMT	http://hintjens.com/onesignal/manifest.json	hintjens.com/hintjens.com/onesignal/manifest.5.delayed	(from http://hintjens.com/)
11:25:44	64045/64045	---MCZ	200	added ('OK')	text/html	etag:%22ccbb04c1e6c40d4dbad6e05cf1fa5108%22	http://hintjens.com/blog:_zeromq	hintjens.com/hintjens.com/blog__zeromq.html	(from http://hintjens.com/)
11:25:46	63027/63027	---MCZ	200	added ('OK')	text/html	etag:%2205f9e25bbf3a88959135354db43e73dc%22	http://hintjens.com/blog:_community	hintjens.com/hintjens.com/blog__community.html	(from http://hintjens.com/)
11:25:46	38315/38315	---MCZ	200	added ('OK')	text/html	etag:%223fb405570dfe7c399a846e2ab05bf379%22	http://hintjens.com/blog:_unprotocols	hintjens.com/hintjens.com/blog__unprotocols.html	(from http://hintjens.com/)
11:25:50	24729/24729	---MCZ	200	added ('OK')	text/html	etag:%22d3e97a15039be75feff7b5e192460e62%22	http://hintjens.com/blog:_psychopaths	hintjens.com/hintjens.com/blog__psychopaths.html	(from http://hintjens.com/)
11:25:52	24792/24792	---MCZ	200	added ('OK')	text/html	etag:%228390036a1db084f914ef481b0a9765c6%22	http://hintjens.com/main:biography	hintjens.com/hintjens.com/main_biography.html	(from http://hintjens.com/)
11:25:52	28470/28470	---MCZ	200	added ('OK')	text/html	etag:%2255683d8dd0ba284844b297f1d9f5256c%22	http://hintjens.com/main:portfolio	hintjens.com/hintjens.com/main_portfolio.html	(from http://hintjens.com/)
11:25:56	32137/32137	---MCZ	200	added ('OK')	text/html	etag:%2252ae56ab589fbd0056105020449da713%22	http://hintjens.com/books	hintjens.com/hintjens.com/books.html	(from http://hintjens.com/)
11:25:56	22231/22231	---MCZ	200	added ('OK')	text/html	etag:%2275a63f9163a3d915a4d2fbd7d246cf43%22	http://hintjens.com/contact	hintjens.com/hintjens.com/contact.html	(from http://hintjens.com/)
11:26:00	24009/24009	---MCZ	200	added ('OK')	text/html	etag:%2243d7934ef683546005c274604d27f02e%22	http://hintjens.com/legal:start	hintjens.com/hintjens.com/legal_start.html	(from http://hintjens.com/)
11:26:00	24041/24041	---MCZ	200	added ('OK')	text/html	etag:%22850455d491bcebad0f7364feff7ac0ec%22	http://hintjens.com/about	hintjens.com/hintjens.com/about.html	(from http://hintjens.com/)
11:26:04	552666/552666	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Oct%202019%2009:25:40%20GMT	http://hintjens.com/feed/pages/pagename/blog%3A_start/category/blog/tags/-nofront/limit/999/t/Hintjens	hintjens.com/hintjens.com/feed/pages/pagename/blog__start/category/blog/tags/-nofront/limit/999/t/Hintjens	(from http://hintjens.com/)
11:26:04	16298/16298	---MC-	302	error ('Moved%20Temporarily')	text/html	etag:%2258bd15027fdd399067e62e435e6a1a6c%22	http://hintjens.com/admin:manage	hintjens.com/hintjens.com/admin_manage.11.delayed	(from http://hintjens.com/)
11:26:04	5719/5719	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Oct%202019%2009:26:04%20GMT	http://hintjens.com/_admin	hintjens.com/hintjens.com/_admin.html	(from http://hintjens.com/)
11:26:05	21191/21191	---MCZ	200	added ('OK')	text/html	etag:%2282e48e180f24273763b4db0a503cbac4%22	http://hintjens.com/admin:themes	hintjens.com/hintjens.com/admin_themes.html	(from http://hintjens.com/)
11:26:06	22392/22392	---MCZ	200	added ('OK')	text/html	etag:%22533ed404d64140b18dd31fbdec04a8f2%22	http://hintjens.com/nav:top	hintjens.com/hintjens.com/nav_top.html	(from http://hintjens.com/)
11:26:08	56994/56994	---MCZ	200	added ('OK')	text/html	etag:%2269c21420a4ecccbf7bff5ef7ff5c44a6%22	http://hintjens.com/blog:74	hintjens.com/hintjens.com/blog_74.html	(from http://hintjens.com/)
11:26:14	38120/38120	---MCZ	200	added ('OK')	text/html	etag:%2280312b6f1b24d06e016eb553c202bd69%22	http://hintjens.com/blog:124	hintjens.com/hintjens.com/blog_124.html	(from http://hintjens.com/)
11:26:14	188186/188186	---MCZ	200	added ('OK')	text/html	etag:%227f1315ca2cedfdad0f8c6297bc15d36f%22	http://hintjens.com/blog:125	hintjens.com/hintjens.com/blog_125.html	(from http://hintjens.com/)
11:26:14	66687/66687	---MCZ	200	added ('OK')	text/html	etag:%2203ea8dc6c8d52a95428b0d0a88b37bc0%22	http://hintjens.com/blog:123	hintjens.com/hintjens.com/blog_123.html	(from http://hintjens.com/)
11:26:16	42947/42947	---MCZ	200	added ('OK')	text/html	etag:%225b7e71f29e5526159fde3b2f89e9fbfc%22	http://hintjens.com/blog:122	hintjens.com/hintjens.com/blog_122.html	(from http://hintjens.com/)
11:26:16	50962/50962	---MCZ	200	added ('OK')	text/html	etag:%2255dc1dd92715031e564ee039cf245fd1%22	http://hintjens.com/blog:121	hintjens.com/hintjens.com/blog_121.html	(from http://hintjens.com/)
11:26:18	49028/49028	---MCZ	200	added ('OK')	text/html	etag:%22df698ab4116a0b74f0c570a3b81b2961%22	http://hintjens.com/blog:120	hintjens.com/hintjens.com/blog_120.html	(from http://hintjens.com/)
11:26:18	56930/56930	---MCZ	200	added ('OK')	text/html	etag:%22be04b1d49a5eb98d43eb19273d2e7823%22	http://hintjens.com/blog:119	hintjens.com/hintjens.com/blog_119.html	(from http://hintjens.com/)
